PREDATOR,PREY,source,pred_lifestage,prey_lifestage,area,ref,notes,Quality,yref,nref
Arnoglossus laterna,Processa nouveli holthuisi,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Processa"" ",4,2012,1
Asterias rubens,Aporrhais pespelecani,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,1
Asterias rubens,Asterias rubens,Diet,adults,juveniles,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,8
Asterias rubens,Detritus,Diet,NA,NA,North Atlantic,"Vevers, H. G. (1949). The biology of Asterias rubens L.: growth and reproduction. Journal of the Marine Biological Association of the United Kingdom, 28(1), 165–187.",NA,1,1949,1
Asterias rubens,Liocarcinus depurator,Diet,juveniles,juveniles,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.","Feeds on several species that belongs or belonged to genus ""Portunus"", not included in our species list",4,1925,1
Asterias rubens,Liocarcinus holsatus,Diet,juveniles,juveniles,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.","Feeds on several species that belongs or belonged to genus ""Portunus"", not included in our species list",4,1925,1
Asterias rubens,Macroalgae,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",(Kleine Algenstückchen),2,1909,1
Asterias rubens,Microalgae,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",Prey: Diatoms (Nodulina & Sannammina),2,1909,1
Asterias rubens,Pandalina brevirostris,Diet,NA,NA,Bering Sea,"Feder, H. M., & Jewett, S. C. (1981). Feeding interactions in the eastern Bering Sea with emphasis on the benthos. The Eastern Bering Sea Shelf: Oceanography and Resources, 2, 1229–1261.","[1] From different region / [2] Q4 / [3] At least another species of the same Genus, ""Asterias amurensis"",  feeds on another species of this prey",4,1981,1
Asterias rubens,Phytoplankton,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",NA,2,1909,1
Asterias rubens,Turritella communis,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,3
Asterias rubens,Zooplankton,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",NA,2,1909,1
Astropecten irregularis,Amphiura filiformis,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).","Feeds on several species that belongs or belonged to genus ""Asterias""",4,1909,2
Astropecten irregularis,Aporrhais pespelecani,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,2
Astropecten irregularis,Asterias rubens,Diet,NA,NA,NA,"Christensen, A. M. (1970). Feeding biology of the sea-star Astropecten irregularis Pennant. - Ophelia 8: 1–134.",NA,1,1970,8
Astropecten irregularis,Corystes cassivelaunus,Diet,NA,NA,North Atlantic,"Freeman, S. M. (1999). The ecology of astropecten irregularis and its potential role as a benthic predator in a soft-sediment community (Doctoral dissertation, Prifysgol Bangor University).",NA,2,1999,1
Astropecten irregularis,Echinocardium cordatum,Diet,adults,juveniles,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,8
Astropecten irregularis,Euspira nitida,Diet,adults,NA,NA,"Christensen, A. M. (1970). Feeding biology of the sea-star Astropecten irregularis Pennant. - Ophelia 8: 1–134.",NA,1,1970,4
Astropecten irregularis,Macroalgae,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",Pieces of Macroalgae (Algenstückchen),2,1909,1
Astropecten irregularis,Microalgae,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",NA,2,1909,1
Astropecten irregularis,Ophiura albida,Diet,adults,juveniles,NA,"Christensen, A. M. (1970). Feeding biology of the sea-star Astropecten irregularis Pennant. - Ophelia 8: 1–134.",NA,1,1970,8
Astropecten irregularis,Pagurus bernhardus,Diet,NA,juveniles,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.","Feeds on ""hermit crabs""",4,1925,3
Astropecten irregularis,Turritella communis,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,9
Astropecten irregularis,Zooplankton,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",Prey: Rotaliida (Nodosaria & Saccammina),2,1909,1
Bacteria,Detritus,Diet,NA,NA,NA,"LIPPS, J. H., & VALENTINE, J. W. (1970). THE ROLE OF FORAMINIFERA IN THE TROPHIC STRUCTURE OF MARINE COMMUNITIES. Lethaia, 3(3), 279–286.",NA,1,1970,1
Bacteria,Microalgae,Diet,NA,NA,NA,"LIPPS, J. H., & VALENTINE, J. W. (1970). THE ROLE OF FORAMINIFERA IN THE TROPHIC STRUCTURE OF MARINE COMMUNITIES. Lethaia, 3(3), 279–286.",NA,1,1970,1
Buglossidium luteum,Amphiura filiformis,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Amphiura""",4,2012,1
Buglossidium luteum,Aphrodita aculeata,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.",NA,1,2012,7
Buglossidium luteum,Corystes cassivelaunus,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.",NA,1,2012,1
Buglossidium luteum,Crangon allmanni,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Crangon"" ",4,2012,2
Buglossidium luteum,Crangon crangon,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Crangon"" ",4,2012,1
Buglossidium luteum,Echinocardium cordatum,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Echinocardium""",4,2012,2
Buglossidium luteum,Euspira nitida,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.",NA,1,2012,3
Buglossidium luteum,Liocarcinus depurator,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Liocarcinus""",4,2012,1
Buglossidium luteum,Liocarcinus holsatus,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Liocarcinus""",4,2012,1
Buglossidium luteum,Pagurus bernhardus,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Pagurus""",4,2012,1
Buglossidium luteum,Philocheras bispinosus bispinosus,Diet,juveniles,NA,Mediterranean Sea,"de Morais, L. T., & Bodiou, J. Y. (1984). Predation on meiofauna by juvenile fish in a western Mediterranean flatfish nursery ground. Marine Biology, 82(2), 209-215.","[1] From different region / [2] Q4 / [3] Feeds on several species that belongs or belonged to genus ""Philocheras""",4,1984,3
Buglossidium luteum,Processa modica modica,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Processa""",4,2012,1
Buglossidium luteum,Processa nouveli holthuisi,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Processa""",4,2012,1
Callionymus lyra,Crangon allmanni,Diet,NA,NA,Irish Sea,"Macer, C. T. (1967). The food web in Red Wharf Bay (North Wales) with particular reference to young plaice (Pleuronectes platessa). Helgoländer Wissenschaftliche Meeresuntersuchungen, 15(1), 560.","Feeds on several species that belongs or belonged to genus ""Crangon""",4,1967,2
Callionymus lyra,Crangon crangon,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,3
Callionymus lyra,Echinocardium cordatum,Diet,NA,NA,North Atlantic,"King, P. A. et al. (2009). Reproduction, growth and feeding of the dragonet, Callionymus lyra (Teleostei: Callionymidae), in Galway Bay, Ireland. - Journal of the Marine Biological Association of the United Kingdom 74: 513–526.","Feeds on several species that belongs or belonged to genus ""Echinocardium""",1,2009,6
Callionymus lyra,Euspira nitida,Diet,NA,NA,North Atlantic,"King, P. A. et al. (2009). Reproduction, growth and feeding of the dragonet, Callionymus lyra (Teleostei: Callionymidae), in Galway Bay, Ireland. - Journal of the Marine Biological Association of the United Kingdom 74: 513–526.",NA,1,2009,1
Callionymus lyra,Liocarcinus depurator,Diet,NA,NA,English Channel,"Steven, G. A. (1930). Bottom fauna and the food of fishes. Journal of the Marine Biological Association of the United Kingdom, 16(3), 677-706.","Feeds on several species that belongs or belonged to genus ""Portunus"", not included in the species list",4,1930,2
Callionymus lyra,Liocarcinus holsatus,Diet,NA,NA,English Channel,"Steven, G. A. (1930). Bottom fauna and the food of fishes. Journal of the Marine Biological Association of the United Kingdom, 16(3), 677-706.","Feeds on several species that belongs or belonged to genus ""Portunus"", not included in the species list",4,1930,2
Callionymus lyra,Macroalgae,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,2
Callionymus lyra,Ophiura albida,Diet,NA,NA,North Sea,"Klimpel, S., Seehagen, A., & Palm, H. W. (2003). Metazoan parasites and feeding behaviour of four small-sized fish species from the central North Sea. Parasitology Research, 91(4), 290-297.","Feeds on several species that belongs or belonged to genus ""Ophiura""",4,2003,4
Callionymus lyra,Pagurus bernhardus,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,4
Callionymus lyra,Pandalina brevirostris,Diet,juveniles,NA,English Channel,"Lebour, M. V. (1920). The food of young fish no. III (1919). Journal of the Marine Biological Association of the United Kingdom, 12(2), 261-324.","Feeds on several species that belongs or belonged to genus ""Pandalus""",4,1920,1
Callionymus lyra,Philocheras bispinosus bispinosus,Diet,NA,NA,Irish Sea,"Macer, C. T. (1967). The food web in Red Wharf Bay (North Wales) with particular reference to young plaice (Pleuronectes platessa). Helgoländer Wissenschaftliche Meeresuntersuchungen, 15(1), 560.","Feeds on several species that belongs or belonged to genus ""Crangon""",4,1967,1
Callionymus lyra,Phytoplankton,Dapstom,NA,NA,English Channel,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,1
Callionymus lyra,Turritella communis,Dapstom,NA,NA,Celtic Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,5
Chelidonichthys lucerna,Aphrodita aculeata,Diet,adults,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,3
Chelidonichthys lucerna,Arnoglossus laterna,Diet,adults,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,2
Chelidonichthys lucerna,Buglossidium luteum,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,3
Chelidonichthys lucerna,Callionymus lyra,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,10
Chelidonichthys lucerna,Chelidonichthys lucerna,GlobiDataBase,NA,NA,North Sea,"Costa, M. J. (1988). Ecologie alimentaire des poissons de l'estuaire du Tage. Cybium, 12(4), 301-320.",NA,4,1988,2
Chelidonichthys lucerna,Corystes cassivelaunus,GlobiDataBase,NA,NA,NA,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",NA,4,2014,2
Chelidonichthys lucerna,Crangon allmanni,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,6
Chelidonichthys lucerna,Crangon crangon,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,6
Chelidonichthys lucerna,Engraulis encrasicolus,Diet,adults,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,1
Chelidonichthys lucerna,Gadus morhua,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,5
Chelidonichthys lucerna,Hippoglossoides platessoides,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,2
Chelidonichthys lucerna,Limanda limanda,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,3
Chelidonichthys lucerna,Liocarcinus depurator,Diet,juveniles,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,7
Chelidonichthys lucerna,Liocarcinus holsatus,Diet,NA,NA,English Channel,"Steven, G. A. (1930). Bottom fauna and the food of fishes. Journal of the Marine Biological Association of the United Kingdom, 16(3), 677-706.","Feeds on several species that belongs or belonged to genus ""Portunus"", not included in the species list",4,1930,5
Chelidonichthys lucerna,Merlangius merlangus,Diet,adults,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,4
Chelidonichthys lucerna,Pagurus bernhardus,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,4
Chelidonichthys lucerna,Philocheras bispinosus bispinosus,Diet,juveniles,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,8
Chelidonichthys lucerna,Pleuronectes platessa,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,3
Chelidonichthys lucerna,Pomatoschistus minutus,Diet,adults,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,4
Chelidonichthys lucerna,Processa modica modica,Diet,adults,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,4
Chelidonichthys lucerna,Processa nouveli holthuisi,Diet,juveniles,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.","Feeds on at least one species that belongs or belonged to ""Processa""",4,2017,3
Chelidonichthys lucerna,Solea solea,GlobiDataBase,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,4,2012,2
Chelidonichthys lucerna,Sprattus sprattus,GlobiDataBase,NA,NA,North Sea,"Costa, M. J. (1988). Ecologie alimentaire des poissons de l'estuaire du Tage. Cybium, 12(4), 301-320.",NA,4,1988,1
Chelidonichthys lucerna,Trachurus trachurus,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,2
